YEAR,CPI,INCOME,relative_affordability
1984,101.5,22420,0.0
1985,103.2,23620,-3.490654575941743
1986,106.1,24900,-5.879201535204858
1987,108.0,26060,-8.458313327712851
1988,113.2,27230,-8.173432301739059
1989,118.4,28910,-9.536543681512022
1990,119.9,29940,-11.542033163206543
1991,126.9,30130,-6.9680644955603
1992,130.9,30640,-5.632934185648675
1993,132.8,31240,-6.101940798395389
1994,133.3,32260,-8.728465454634293
1995,132.2,34080,-14.31566409953977
1996,132.7,35490,-17.408664343109205
1997,132.3,37010,-21.03942084618322
1998,133.1,38890,-24.40210927119183
1999,131.5,40700,-28.63243001174035
2000,130.7,41990,-31.245792746806956
2001,129.4,42230,-32.31650742065793
2002,124.4,42410,-35.20795704145434
2003,122.1,43320,-37.74176821363755
2004,120.1,44330,-40.156795373703055
2005,120.3,46330,-42.64478750110315
2006,118.9,48200,-45.511558980438636
2007,119.86,50230,-47.2914994964052
2008,119.438,50300,-47.550167761901506
2009,117.967,49780,-47.65499943594178
2010,119.91,49280,-46.252994849977604
2011,119.82,50050,-47.11959173831095
2012,125.399,51020,-45.7095820628634
2013,128.076,53590,-47.20976875143054
2014,127.882,53660,-47.35849253372355
2015,126.129,56520,-50.70732745547153
2016,124.999,59040,-53.23405055602281
2017,126.044,61140,-54.46280151666771
2018,124.855,63180,-56.348830536570006
2019,124.466,68700,-59.98124608313435
2020,122.477,68010,-60.22123173714674
2021,119.233,70780,-62.79035908114648
2022,125.561,74580,-62.81207444777783
2023,129.414,80610,-64.53810776572477
