YEAR,CPI,INCOME,relative_affordability
1984,104.8,22420,0.0
1985,115.3,23620,4.429630084480074
1986,125.1,24900,7.481145957877322
1987,135.4,26060,11.152331964403949
1988,145.5,27230,14.311435243459014
1989,157.1,28910,16.252531546969927
1990,169.5,29940,21.113410026159187
1991,183.5,30130,30.29005353392298
1992,200.7,30640,40.13058567356946
1993,218.3,31240,49.49168466733784
1994,233.4,32260,54.778564431172306
1995,247.3,34080,55.238292029530896
1996,261.2,35490,57.4495772381856
1997,274.1,37010,58.43979654766302
1998,288.3,38890,58.591908279174596
1999,301.5,40700,58.477361817056476
2000,316.3,41990,61.1490103968775
2001,332.2,42230,68.28789272847891
2002,351.9,42410,77.51102019363863
2003,374.2,43320,84.79476362662382
2004,402.1,44330,94.04866864236479
2005,428.3,46330,97.7698571317943
2006,456.0,48200,102.39143517785311
2007,482.403,50230,105.45709697224832
2008,509.988,50300,116.90336909838676
2009,537.453,49780,130.9723136763592
2010,561.896,49280,143.92682722811543
2011,585.441,50050,150.23806765753332
2012,611.414,51020,156.3712082673761
2013,634.935,53590,153.46607298274003
2014,654.259,53660,160.8395022519511
2015,677.508,56520,156.44049124001236
2016,699.997,59040,153.6437442463642
2017,717.78,61140,151.15408385709682
2018,733.083,63180,148.22633352181697
2019,754.086,68700,134.82182906096872
2020,772.322,68010,142.9405200851693
2021,781.674,70780,136.25958350679127
2022,798.453,74580,129.0347096411661
2023,825.931,80610,119.19425710067605
