YEAR,CPI,INCOME,relative_affordability
1984,100.2,22420,0.0
1985,100.3,23620,-4.9857102053302516
1986,102.6,24900,-7.803188803116656
1987,85.4,26060,-26.675122510160033
1988,88.8,27230,-27.031870889143494
1989,90.3,28910,-30.11120615911036
1990,98.9,29940,-26.088437687084088
1991,108.5,30130,-19.425337840747314
1992,101.5,30640,-25.878334714383243
1993,105.0,31240,-24.795096107401083
1994,102.8,32260,-28.698832960241948
1995,105.7,34080,-30.602585907996204
1996,106.9,35490,-32.60315098177833
1997,115.2,37010,-30.353181774791405
1998,107.5,38890,-38.15018458839585
1999,99.7,40700,-45.18888512900489
2000,115.0,41990,-38.719845377119064
2001,135.0,42230,-28.47126017914444
2002,114.2,42410,-39.748797618156765
2003,133.5,43320,-31.04580313058094
2004,143.9,44330,-27.3675072593365
2005,157.2,46330,-24.079662819838422
2006,196.6,48200,-8.734978176427221
2007,190.281,50230,-15.238207240704726
2008,226.775,50300,0.8776780435153508
2009,178.661,49780,-19.69496884094406
2010,212.807,49280,-3.37642612502268
2011,229.258,50050,2.491607394601414
2012,244.876,51020,7.392426436816679
2013,245.025,53590,2.304450624781418
2014,250.34,53660,4.387252330969815
2015,199.926,56520,-20.852899296947513
2016,185.235,59040,-29.79879164435356
2017,205.369,61140,-24.84163207768304
2018,216.855,63180,-23.20062154892495
2019,204.34,68700,-33.447474773887464
2020,220.147,68010,-27.571768094453653
2021,211.551,70780,-33.123673252534225
2022,269.67,74580,-19.09448199337448
2023,292.447,80610,-18.824282461005293
