YEAR,CPI,INCOME,relative_affordability
1984,101.7,22420,0.0
1985,103.8,23620,-3.1204493966665026
1986,105.9,24900,-6.241366646527114
1987,110.2,26060,-6.777265383341213
1988,113.9,27230,-7.7873000706679125
1989,120.3,28910,-8.265607127806884
1990,129.8,29940,-4.42648653583797
1991,135.0,30130,-1.2244873982653282
1992,135.2,30640,-2.7246984038961752
1993,138.1,31240,-2.5465297371068285
1994,142.7,32260,-2.4843622460332004
1995,147.0,34080,-4.910534989682436
1996,150.9,35490,-6.265839145349017
1997,156.9,37010,-6.541562951574109
1998,160.3,38890,-9.132153746302574
1999,163.4,40700,-11.49408459142972
2000,165.3,41990,-13.215606188016382
2001,170.4,42230,-11.04647467129366
2002,175.4,42410,-8.824958028998642
2003,176.0,43320,-10.434887612344534
2004,183.3,44330,-8.845232225192268
2005,188.1,46330,-10.496266682456945
2006,192.5,48200,-11.956286694655581
2007,195.918,50230,-14.014382219372001
2008,207.1,50300,-9.23325338040587
2009,218.953,49780,-3.0359686850262912
2010,214.738,49280,-3.937726666155872
2011,219.251,50050,-3.4277930525718148
2012,230.948,51020,-0.2096819763741875
2013,233.696,53590,-3.8648568660078597
2014,234.722,53660,-3.5687527463606927
2015,242.553,56520,-5.393897166429706
2016,241.558,59040,-9.803490392327719
2017,237.072,61140,-14.519021579179459
2018,239.854,63180,-16.30837522173696
2019,241.581,68700,-22.47876320885558
2020,243.511,68010,-21.06666279194005
2021,252.588,70780,-21.328612235678136
2022,271.278,74580,-19.812467220564955
2023,301.853,80610,-17.44921058541209
