YEAR,CPI,INCOME,relative_affordability
1984,104.0,22420,0.0
1985,110.2,23620,0.5782257539242996
1986,118.0,24900,2.1609514983009115
1987,126.7,26060,4.81042269319325
1988,134.4,27230,6.403005734625267
1989,143.8,28910,7.229199372056527
1990,156.0,29940,12.32464929859718
1991,171.0,30130,22.348668589956343
1992,184.3,30640,29.669800662783707
1993,196.4,31240,35.52915394464691
1994,206.4,32260,37.92646287376604
1995,216.6,34080,37.012797941495144
1996,225.2,35490,36.793246201530216
1997,231.8,37010,35.01953733918069
1998,238.1,38890,31.98473999643967
1999,246.5,40700,30.56440181440181
2000,255.6,41990,31.225200139227294
2001,267.2,42230,36.40102734111732
2002,279.8,42410,42.22688770790634
2003,292.7,43320,45.65873819163293
2004,303.8,44330,47.738031199569676
2005,316.9,46330,47.455918245363506
2006,329.6,48200,47.41525694222793
2007,343.579,50230,47.45710462641082
2008,360.463,50300,54.488080363970035
2009,369.824,49780,60.15572519083972
2010,382.742,49280,67.43170189185817
2011,394.072,50050,69.73592253899947
2012,408.394,51020,72.56041145252242
2013,421.114,53590,69.40186673747971
2014,429.989,53660,72.74637640127295
2015,441.351,56520,68.33880144536992
2016,454.194,59040,65.84306402439026
2017,471.484,61140,66.24316323192674
2018,480.797,63180,64.053083071566
2019,489.968,68700,53.74933602060239
2020,511.854,68010,62.24659665433816
2021,521.774,70780,58.91838578911906
2022,534.649,74580,54.542754553705876
2023,550.887,80610,47.324803899115395
