YEAR,clothing,education,energy,groceries,housing,medical
1984,100.0,100.0,100.0,100.0,100.0,100.0
1985,100.01249999999999,100.0421,100.00290000000001,100.0063,100.0421,100.0281
1986,100.02810195,100.12173351160001,99.9521985297,100.0244011403,100.12173351160001,100.08911714099999
1987,100.06101119554157,100.23787472247348,99.90502109199397,100.05930965629797,100.23787472247348,100.1781964552555
1988,100.11014115203858,100.38983534055275,99.8622617429666,100.10993966698405,100.38983534055275,100.29460351953652
1989,100.16760437305985,100.57354873922594,99.83959300955094,100.18422124221695,100.57354873922594,100.4412342298821
1990,100.24152806508715,100.79501169354972,99.8434867536783,100.28310306858303,100.79501169354972,100.62855713172083
1991,100.33054254200894,101.06786379020416,99.848878301963,100.3930133495462,101.06786379020416,100.86251852705207
1992,100.42846515152996,101.3934033794724,99.85586772344413,100.5044495943642,101.3934033794724,101.13605767729746
1993,100.53029961519361,101.76835618516968,99.86655230129055,100.62435140273027,101.76835618516968,101.44179197965593
1994,100.62821612701882,102.1786861973083,99.87833655446211,100.75315057252577,102.1786861973083,101.76894175879032
1995,100.7167689572106,102.61059550386432,99.89112098154106,100.88906657264812,102.61059550386432,102.1078323348471
1996,100.80106889282779,103.06557088432844,99.91719256411726,101.03545660824503,103.06557088432844,102.45683690576762
1997,100.8851369842844,103.5407031661052,99.94596871557575,101.18660565133095,103.5407031661052,102.81010807941868
1998,100.96554243846087,104.03190026192522,99.95116590594894,101.33838555980796,104.03190026192522,103.16737320499465
1999,101.03813666347412,104.53947190330315,99.9653589715076,101.49140652200326,104.53947190330315,103.53134769766189
2000,101.104518719262,105.07262321001001,100.0218393993265,101.64871820211236,105.07262321001001,103.91047949293073
2001,101.16497922145614,105.64800089470803,100.08885403172403,101.8186748589463,105.64800089470803,104.31843203541999
2002,101.21738268069285,106.27650085203064,100.1379976590536,101.9934975236791,106.27650085203064,104.75792558958523
2003,101.26141224215894,106.9556076924751,100.22081178311764,102.17392402079848,106.9556076924751,105.21760336707233
2004,101.30353698965169,107.6902857617147,100.33516372936218,102.36621534580561,107.6902857617147,105.69981564330362
2005,101.34182972663378,108.45984054376794,100.5003154088607,102.55845909822503,108.45984054376794,106.19322238272655
2006,101.3785154689948,109.26602253852977,100.70000953557812,102.7506536505751,109.26602253852977,106.6982773483788
2007,101.41278140722332,110.10201687697207,100.91429915586983,102.95214768238388,110.10201687697207,107.21672427801457
2008,101.44685610177613,111.00452310931261,101.18575862059913,103.18008373735267,111.00452310931261,107.7647089557995
2009,101.48368131054106,111.98391601670608,101.37386294587483,103.41296118634789,111.98391601670608,108.34620732532498
2010,101.5197080174063,113.03701276292716,101.60185276364008,103.65019051930938,113.03701276292716,108.96497251535993
2011,101.56041742032129,114.1378802302253,101.89192605328029,103.90579188913,114.1378802302253,109.60339828932743
2012,101.60865861859594,115.28154179013215,102.18180858290187,104.16846573102573,115.28154179013215,110.26496440140181
2013,101.65682112278117,116.43009179098722,102.4553492844783,104.42326179820382,116.43009179098722,110.91960749505294
2014,101.7052097696356,117.6343282303814,102.7273682368286,104.68922784600385,117.6343282303814,111.59832457331518
2015,101.7483327785779,118.83949192310166,102.91238022702312,104.94760086032777,118.83949192310166,112.26925370064993
2016,101.7897443500188,120.04393017374228,103.06685170974387,105.18992487071426,120.04393017374228,112.94758453150926
2017,101.82913698108224,121.25121197949962,103.24185922394702,105.42355169385212,121.25121197949962,113.6280937283116
2018,101.86732290745016,122.46311784323471,103.43636688672493,105.6520045303727,122.46311784323471,114.30747610071317
2019,101.90002231810344,123.62712977833468,103.60858843759134,105.86573853553764,123.62712977833468,114.95880009953503
2020,101.92417262339283,124.84139544701749,103.75560902458427,106.09525545668268,124.84139544701749,115.65499059293782
2021,101.95159022582854,126.0388741121453,103.95720617291903,106.32930159022011,126.0388741121453,116.3385115873421
2022,101.98594791173466,127.22237914005834,104.2318611116279,106.59406155117976,127.22237914005834,117.0242107746379
2023,102.02215292324333,128.36941611038512,104.46784204518463,106.85873460601134,128.36941611038512,117.66608857073678
