YEAR,clothing,education,energy,groceries,housing,medical
1984,0.0,0.0,0.0,0.0,0.0,0.0
1985,-3.893945808636756,-1.084326841659622,-4.805173581710431,-4.482447078746832,-1.084326841659622,-2.4132006773920467
1986,-7.429710843373483,0.9980481927710949,-14.263759036144574,-7.762859437751002,0.9980481927710949,-1.9372610441766969
1987,-8.719800460475824,6.482095165003843,-22.14082885648503,-8.866055257099003,6.482095165003843,1.3545740598618572
1988,-8.599184722732279,14.388931325743659,-29.01019463826663,-8.61565185457216,14.388931325743659,6.56704370179948
1989,-9.459183673469385,21.93346938775509,-34.89591836734694,-8.171836734693883,21.93346938775509,11.71224489795919
1990,-7.047608550434203,34.227955911823635,-36.84359385437542,-3.939959919839686,34.227955911823635,21.83480293921174
1991,-1.0260803186192935,53.52454032525722,-36.840039827414536,3.6097178891470127,53.52454032525722,38.36704281447063
1992,4.468126631853808,74.53794386422976,-37.379125326370755,10.007271540469986,74.53794386422976,55.908270234986944
1993,9.738866837387983,97.72516645326506,-37.81392445582586,16.456254801536495,97.72516645326506,74.60902688860433
1994,13.038220706757597,119.49499690018595,-38.960055796652206,21.66985120892746,119.49499690018595,91.50127092374456
1995,12.790757042253542,135.58104460093904,-41.37775234741784,24.04680751173709,135.58104460093904,103.18125000000005
1996,13.597193575655119,154.23231332769794,-42.05797689489997,28.28485207100593,154.23231332769794,116.70139757678224
1997,13.983982707376397,171.7175574169144,-42.69300189138071,32.078697649283974,171.7175574169144,128.68884625776818
1998,13.068516328104906,185.9313859604011,-45.16352789920288,34.34128567755206,185.9313859604011,137.66698894317307
1999,12.000845208845213,200.0919754299755,-46.81998034398034,36.684879606879626,200.0919754299755,146.53186240786246
2000,12.067963800905002,218.10343891402715,-45.43701357466063,40.76171945701357,218.10343891402715,158.51076923076928
2001,14.6058583945063,245.36780961401848,-42.190059199621125,48.83843239403267,245.36780961401848,177.88483068908363
2002,16.857840132044366,275.3512945060128,-39.83975477481726,57.283621787314296,275.3512945060128,198.97738740863008
2003,16.65438596491231,300.53754385964913,-36.82342105263158,63.135000000000005,300.53754385964913,215.4067543859649
2004,16.10050078953307,326.1519557861493,-32.49218136702008,68.93644484547711,326.1519557861493,231.39926009474397
2005,12.917824303906777,342.3364860781351,-27.441079214331964,70.7317116339305,342.3364860781351,239.6825987481114
2006,10.220813278008345,359.7495435684648,-21.013688796680498,72.8247095435685,359.7495435684648,248.62634854771787
2007,7.274991041210455,375.3191757913598,-14.707589090185147,74.59301612582125,375.3191757913598,256.22492136173605
2008,8.623339960238585,411.19382902584476,-2.8362664015904704,84.21840954274356,411.19382902584476,278.5102186878728
2009,11.392900763358838,456.2709160305344,6.551297709923687,96.3078625954199,456.2709160305344,306.7667175572519
2010,14.138181818181849,504.69851866883124,17.864232954545468,108.73620535714288,504.69851866883124,336.87608360389606
2011,14.178497502497533,539.0215144855146,28.83996803196802,116.57137662337664,539.0215144855146,356.4004235764235
2012,14.09503724029797,570.9037789102315,38.89238337906704,123.56281850254804,570.9037789102315,374.24759702077625
2013,10.606448964359071,580.4108117186042,43.43110281768987,123.07460720283636,580.4108117186042,376.3423735771599
2014,12.450965337309029,622.7379053298547,54.33700708162503,133.42537458069324,622.7379053298547,401.2871338054417
2015,8.442668082094883,626.8054670912952,53.67140835102617,131.40359518754425,626.8054670912952,399.7692498230715
2016,5.359569783197871,634.2701897018972,52.812198509485086,130.29486788617888,634.2701897018972,401.3816802168023
2017,3.159869152764183,645.9288747137717,53.79005233889431,130.5292312724894,645.9288747137717,406.2541609421001
2018,1.1596929408040912,657.3119721430834,55.50991769547324,130.77553972776198,657.3119721430834,411.12490028490026
2019,-5.920850072780159,627.4816797671035,48.448465793304216,118.83486462882101,627.4816797671035,388.6515691411936
2020,-4.185075724158194,667.2413439200119,54.632398176738704,128.20204087634175,667.2413439200119,413.57326863696517
2021,-7.082752189884134,667.5983356880475,54.73537722520485,126.25891494772539,667.5983356880475,412.1946877649053
2022,-10.803993027621328,656.7155832662913,54.79359613837491,122.21592920353986,656.7155832662913,403.8156985787074
2023,-16.488907083488368,625.1859000124055,49.51116734896417,112.49910184840597,625.1859000124055,381.38334946036474
