YEAR,clothing,education,energy,groceries,housing,medical
1984,0.0,0.0,0.0,0.0,0.0,0.0
1985,-5.068575359864536,-5.0404791701947556,-5.077687637595263,-5.074460372565637,-5.0404791701947556,-5.0537679085520875
1986,-9.934536316506016,-9.850230308029218,-10.002879878077342,-9.937868531504968,-9.850230308029218,-9.879598140513245
1987,-13.915277398156489,-13.763117756030107,-14.049479167977552,-13.91674127036836,-13.763117756030107,-13.814460302117093
1988,-17.5736553570068,-17.343367303151215,-17.777748502485824,-17.573821251054646,-17.343367303151215,-17.421777050752528
1989,-22.31900069028012,-22.00418669202886,-22.573376849736004,-22.306114138688894,-22.00418669202886,-22.106797944173074
1990,-24.93603676622399,-24.52157106982683,-25.234102437626337,-24.90490411497557,-24.52157106982683,-24.646217405037373
1991,-25.34315420538199,-24.794506930754157,-25.701564834715885,-25.296669123902227,-24.794506930754157,-24.947306160753147
1992,-26.514158332333494,-25.808090608101452,-26.933141176252683,-26.45855874981575,-25.808090608101452,-25.99639643847882
1993,-27.852454629556945,-26.963938998991544,-28.328805934861258,-27.784956515710224,-26.963938998991544,-27.198304219465886
1994,-30.0655732930018,-28.988030237332552,-30.58672332451827,-29.978746564289295,-28.988030237332552,-29.27279373118168
1995,-33.74207863789138,-32.49619861512213,-34.285242593716234,-33.62873026529428,-32.49619861512213,-32.82694832901196
1996,-36.3212182424007,-34.89067063323067,-36.87958700232434,-36.17314913618333,-34.89067063323067,-35.27522447373035
1997,-38.885577649617495,-37.27688286992492,-39.4545090893486,-38.7029532909257,-37.27688286992492,-37.71946438420516
1998,-41.79358545975076,-40.025836876514184,-42.37837131366996,-41.57864221519942,-40.025836876514184,-40.52423483527951
1999,-44.342137002577644,-42.4133916444212,-44.933087269257975,-44.09244879058198,-42.4133916444212,-42.96872689480149
2000,-46.016591815054674,-43.8978753901304,-46.594673985879965,-45.72602376538797,-43.8978753901304,-44.51838651508676
2001,-46.291289743190944,-43.911243664235045,-46.862606976290486,-45.944241289661946,-43.911243664235045,-44.617114699642045
2002,-46.491541624590106,-43.81704435032947,-47.062157332799295,-46.08124936380841,-43.81704435032947,-44.61983749779531
2003,-47.59277787467212,-44.645781983719026,-48.131334252597014,-47.12051300677973,-44.645781983719026,-45.545275450374845
2004,-48.76550193304781,-45.535388974111356,-49.25525894851568,-48.22804989729389,-45.535388974111356,-46.54207383887058
2005,-50.95869150720637,-47.514145802044524,-51.36591686883969,-50.36994057884298,-47.514145802044524,-48.61100699717831
2006,-52.84426728599867,-49.175431010086356,-53.15987108324354,-52.20602375838395,-49.175431010086356,-50.36980543255907
2007,-54.73472906330983,-50.85631657611558,-54.957225023400326,-54.04763784513147,-50.85631657611558,-52.14415770828018
2008,-54.78253451686241,-50.52243721449725,-54.89891236036119,-54.00999050911637,-50.52243721449725,-51.966505471391166
2009,-54.29360918074868,-49.56449583980414,-54.343069360254844,-53.42469687027081,-49.56449583980414,-51.20285318935744
2010,-53.813476993704356,-48.57366424219101,-53.77610513472381,-52.84421121260316,-48.57366424219101,-50.42624424118568
2011,-54.50580302570223,-48.871702801965014,-54.35730305465447,-53.455187729184914,-48.871702801965014,-50.90293327379178
2012,-55.349546722286924,-49.34119625764871,-55.09768427227244,-54.224676564296416,-49.34119625764871,-51.545658528431424
2013,-57.47068614344554,-51.29011647781427,-57.13661259641718,-56.313313500359584,-51.29011647781427,-53.59549169548261
2014,-57.50594850847502,-50.85050989703408,-57.07887447130643,-56.259178376678975,-50.85050989703408,-53.372448063106106
2015,-59.639107910549946,-52.85949382668189,-59.17736085120562,-58.37004226311839,-52.85949382668189,-55.46573482008896
2016,-61.34610317873609,-54.41421215285735,-60.861131176618265,-60.05490996610072,-54.41421215285735,-57.10899652445058
2017,-62.65931875832737,-55.53725592770067,-62.14127438991017,-61.341249117171,-55.53725592770067,-58.33264865245754
2018,-63.85145014901816,-56.54284422213798,-63.29466056346356,-62.50842131100103,-56.54284422213798,-59.43694817698656
2019,-66.74529111540205,-59.65472707961771,-66.1877066554469,-65.45109377049849,-59.65472707961771,-62.483605557036746
2020,-66.39994191712296,-58.845109749711334,-65.79619534875489,-65.02491358125533,-58.845109749711334,-61.87347611978142
2021,-67.70620722148806,-60.076412014773986,-67.07091604412483,-66.31954024226144,-60.076412014773986,-63.14906146103123
2022,-69.34131198469977,-61.7548171048524,-68.66615277389786,-67.95603566670086,-61.7548171048524,-64.82055771564251
2023,-71.62465365911034,-64.29670873099076,-70.94443594277335,-70.27945875366859,-64.29670873099076,-67.27361734578938
